close_date,open,high,low,close,volume,bull_7_0.10,bear_7_0.10,bull_7_0.15,bear_7_0.15,bull_7_0.20,bear_7_0.20,bull_7_0.25,bear_7_0.25,bull_7_0.30,bear_7_0.30,bull_8_0.10,bear_8_0.10,bull_8_0.15,bear_8_0.15,bull_8_0.20,bear_8_0.20,bull_8_0.25,bear_8_0.25,bull_8_0.30,bear_8_0.30,bull_9_0.10,bear_9_0.10,bull_9_0.15,bear_9_0.15,bull_9_0.20,bear_9_0.20,bull_9_0.25,bear_9_0.25,bull_9_0.30,bear_9_0.30,bull_10_0.10,bear_10_0.10,bull_10_0.15,bear_10_0.15,bull_10_0.20,bear_10_0.20,bull_10_0.25,bear_10_0.25,bull_10_0.30,bear_10_0.30,bull_11_0.10,bear_11_0.10,bull_11_0.15,bear_11_0.15,bull_11_0.20,bear_11_0.20,bull_11_0.25,bear_11_0.25,bull_11_0.30,bear_11_0.30,bull_12_0.10,bear_12_0.10,bull_12_0.15,bear_12_0.15,bull_12_0.20,bear_12_0.20,bull_12_0.25,bear_12_0.25,bull_12_0.30,bear_12_0.30,bull_13_0.10,bear_13_0.10,bull_13_0.15,bear_13_0.15,bull_13_0.20,bear_13_0.20,bull_13_0.25,bear_13_0.25,bull_13_0.30,bear_13_0.30,bull_14_0.10,bear_14_0.10,bull_14_0.15,bear_14_0.15,bull_14_0.20,bear_14_0.20,bull_14_0.25,bear_14_0.25,bull_14_0.30,bear_14_0.30
2018-02-12,8063.82,11274.0,8053.0,10383.43,311863.068137,18.0196,71.5469,16.1036,67.5514,14.3489,63.4903,12.7359,59.3622,11.2481,55.1653,26.504,57.1297,23.1372,52.7729,19.9612,48.3838,16.9602,44.0789,14.1202,39.8557,38.733,43.3178,34.131,38.9418,29.6858,34.7569,25.5268,30.7967,21.4878,27.2172,62.2098,24.8304,58.7908,21.8421,55.2953,19.4405,51.7136,17.2425,48.1026,15.3036,72.6016,17.0806,69.822,15.0249,66.9721,13.4905,64.0491,12.2048,61.0503,11.0091,78.3999,13.0341,75.9312,11.7264,73.3968,10.6076,70.7938,9.5637,68.1196,8.5874,82.1561,10.7681,79.8572,9.706,77.4966,8.7128,75.0717,7.7819,72.58,6.9076,,,,,,,,,,
2018-02-19,10375.01,11786.01,9274.8,9590.0,350623.132911,0.0,98.2407,0.0,95.0822,0.0,91.6549,0.0,87.9231,0.0,83.8442,19.0158,67.9846,16.8978,63.964,14.9832,59.462,13.244,54.7997,11.6573,49.9684,29.4443,53.3128,25.4794,48.6193,21.9163,43.8263,18.8277,39.0405,15.9421,34.4421,41.6352,40.0082,37.1241,35.4028,32.6435,31.266,28.3133,27.398,24.4308,23.8785,62.9329,23.2739,59.3896,20.2815,55.8223,17.856,52.2309,15.7418,48.6151,13.769,73.0022,16.2159,70.0355,14.3521,67.0297,12.7069,63.9839,11.163,60.8974,9.7113,78.3137,12.8955,75.6227,11.4188,72.8884,10.0295,70.1099,8.7202,67.2861,7.4841,82.4471,10.4609,80.0713,9.1717,77.5314,7.9543,74.9482,6.8029,72.3207,5.7993
2018-02-26,9590.0,11565.0,9350.0,11515.0,183970.997614,6.0355,88.9972,5.1239,86.1855,4.3012,83.1309,3.555,79.8006,2.8751,76.1553,5.226,84.572,4.1907,80.9845,3.281,76.3296,2.4752,71.3708,1.7565,66.0772,25.3053,57.9835,21.5878,53.2754,18.3565,48.3428,15.6638,43.3251,13.1788,38.4017,36.4463,44.5796,31.915,39.6624,27.4639,35.1123,23.2496,30.8276,19.6269,26.8978,48.3455,32.7999,43.5997,28.5146,38.8542,24.9033,34.1091,21.7502,29.3644,18.8606,67.4234,19.3905,63.7975,17.0638,60.1143,15.0186,56.3723,13.1212,52.5514,11.3561,76.1149,14.0448,73.0988,12.3903,70.0222,10.845,66.8832,9.3984,63.6454,8.0414,81.3637,10.9858,78.793,9.6054,76.0402,8.3089,73.2286,7.0888,70.3565,6.0285
2018-03-05,11515.0,11710.0,8329.0,9533.57,282035.225382,6.4547,88.2301,5.4794,85.2519,4.5993,82.0299,3.8012,78.5328,3.0741,74.7238,4.8127,90.1441,3.8986,88.1705,3.0798,84.9833,2.3422,81.4167,1.6742,77.3987,5.8602,82.0677,3.5265,78.1095,1.9349,73.2232,1.0247,67.6589,0.2193,61.4031,26.8404,55.4928,23.0462,50.3251,19.46,45.0205,16.2601,39.795,13.7969,34.763,38.4778,41.8528,33.9707,36.7934,29.6173,32.1983,25.4099,28.0203,21.3412,24.1173,50.4909,30.6061,45.7087,26.7214,40.9716,23.231,36.2789,19.9993,31.8019,16.9988,67.8669,18.8888,64.0884,16.4287,60.2964,14.122,56.4907,11.9549,52.6636,9.9151,76.7059,13.5267,73.6296,11.6552,70.4076,9.8884,67.1552,8.2178,63.8719,6.7342
2018-03-12,9533.57,9888.88,7322.0,8189.99,315835.151606,6.0936,89.3257,5.2126,86.7579,4.406,84.0368,3.6647,81.1483,2.981,78.0764,4.6901,90.6395,3.8173,88.8617,3.0285,85.9776,2.312,82.806,1.6584,79.302,3.5297,91.142,2.5602,89.2714,1.6909,86.4646,0.907,82.9002,0.1964,78.2729,6.7832,81.2203,4.5066,77.0167,2.4394,71.3783,0.8441,65.4102,0.1427,59.148,27.0308,55.5809,23.429,50.3683,20.0628,45.1143,16.9096,40.0541,13.9498,35.1801,38.6991,42.0979,34.3157,37.4465,30.1065,33.093,26.0614,28.9712,22.4222,25.0632,49.8358,31.9538,45.22,28.0753,40.7073,24.4212,36.2944,20.9726,32.0408,17.7125,66.913,20.2049,63.1878,17.5566,59.4066,15.04,55.6525,12.6456,51.9254,10.4705
2018-03-19,8189.0,9177.01,8088.4,8470.15,285211.539511,7.795,85.8893,6.6257,82.4721,5.568,78.8411,4.6066,74.9758,3.7291,70.8525,4.592,91.0649,3.7555,89.4552,2.9925,86.8294,2.2937,83.9894,1.6513,80.9078,3.5254,91.3595,2.5683,89.6198,1.7029,87.0194,0.9166,83.7572,0.1991,79.5586,3.1775,91.6929,2.2792,89.5274,1.4825,85.3899,0.771,80.6643,0.1318,75.2229,8.1417,79.3236,5.9206,74.2808,3.9279,68.1187,2.1301,61.6779,0.4998,55.2508,28.0814,53.6592,24.3761,48.4072,20.9297,43.2758,17.7162,38.2829,15.0243,33.423,39.4917,41.2629,35.1432,36.6282,31.0148,32.1666,27.0902,27.8686,23.4479,23.7254,51.089,31.0916,46.4836,27.1425,42.0256,23.3642,37.7143,19.7457,33.5427,16.3978
2018-03-26,8470.14,8514.89,6430.0,6813.01,308729.492031,8.5383,84.7714,7.2777,81.2299,6.1313,77.5265,5.0844,73.6498,4.1244,69.5874,5.1426,90.0329,4.2091,88.2586,3.3563,85.3998,2.5742,82.3362,1.8543,79.045,3.1739,92.5341,2.3306,91.1521,1.5564,89.0781,0.8433,86.5072,0.1843,83.7159,2.9159,92.7508,2.1106,91.0136,1.384,87.6236,0.7251,83.8327,0.1248,79.8048,2.8515,92.1503,2.0716,89.1952,1.3828,84.6255,0.7702,79.389,0.2218,73.9244,8.5896,77.9207,6.3768,72.443,4.3877,66.7129,2.59,60.9404,1.391,55.1251,27.348,55.0127,23.8973,50.0533,20.708,45.1387,17.7515,40.2684,15.1188,35.4418,39.0171,42.6789,34.8299,38.1986,30.9529,33.814,27.2946,29.522,23.8372,25.4185
2018-04-02,6813.01,7520.0,6500.0,7018.0,232320.070499,7.6311,87.1956,6.5765,85.5957,5.597,83.8364,4.6848,81.8928,3.8333,79.7343,5.7995,88.7099,4.7427,86.6897,3.7788,83.4879,2.8961,80.0734,2.0849,76.4243,3.5856,91.5228,2.6302,89.9372,1.755,87.5784,0.9501,84.6711,0.2075,81.5219,2.7143,93.4849,1.9779,92.0127,1.3048,89.667,0.6874,87.1216,0.1189,84.3499,2.6852,92.9424,1.9672,90.4139,1.323,87.0546,0.7419,83.4365,0.215,79.5282,2.4895,90.3983,1.628,86.0982,0.8689,81.2771,0.195,76.2253,0.0,70.9258,9.3154,76.0224,7.1942,70.7215,5.2999,65.2879,3.5978,59.7164,2.2234,54.0017,27.9953,54.2813,24.4699,49.4623,21.3706,44.6192,18.5176,39.7517,15.8827,34.9291
2018-04-09,7011.04,8429.54,6611.0,8355.0,259877.022414,8.3697,84.5315,7.2026,82.0587,6.1216,79.453,5.1175,76.7034,4.1824,73.7977,5.9834,88.5891,4.9127,86.3505,3.9287,83.7769,3.0212,80.99,2.1817,77.9621,4.4232,89.3906,3.2356,87.3465,2.1533,84.3587,1.163,80.2093,0.2534,75.8457,3.2506,92.0062,2.3577,90.1332,1.5489,87.1923,0.8128,83.9782,0.1401,80.4221,2.6667,93.5684,1.9619,91.9979,1.3245,89.6032,0.7452,86.9414,0.2166,83.965,2.4847,90.8245,1.6333,87.6446,0.8757,83.8742,0.1973,79.7764,0.0,75.3066,2.694,87.3883,1.8277,82.6535,1.0754,77.5999,0.4158,72.1942,0.0,66.3983,11.2599,71.6747,8.7153,66.215,6.7411,60.5275,4.9893,54.5976,3.4243,48.4196
2018-04-16,8355.07,9035.0,7825.4,8787.02,233025.38619,2.8481,92.0042,2.1871,89.9253,1.5818,87.7037,1.0253,85.324,0.5121,82.7689,7.4892,83.9023,5.6289,80.9715,4.4653,77.8197,3.4352,74.5752,2.4816,71.2337,4.6844,86.894,3.4347,84.2959,2.2908,81.474,1.2397,77.9447,0.2706,74.1846,4.0365,88.5779,2.9126,85.5658,1.9045,81.3767,0.9952,76.9362,0.1709,72.196,3.2113,91.5914,2.3492,89.1042,1.578,85.6247,0.8838,81.8118,0.2558,77.6152,2.4933,92.8765,1.6469,90.4455,0.8869,87.3386,0.2006,83.8975,0.0,80.0651,2.712,89.0337,1.8492,85.1758,1.0927,80.7112,0.4241,75.8427,0.0,70.513,3.5472,83.1112,2.2503,77.9957,1.4746,72.2037,0.8056,65.9925,0.2225,59.2618
