close_date,open,high,low,close,volume,bull_7_0.10,bear_7_0.10,bull_7_0.15,bear_7_0.15,bull_7_0.20,bear_7_0.20,bull_7_0.25,bear_7_0.25,bull_7_0.30,bear_7_0.30,bull_8_0.10,bear_8_0.10,bull_8_0.15,bear_8_0.15,bull_8_0.20,bear_8_0.20,bull_8_0.25,bear_8_0.25,bull_8_0.30,bear_8_0.30,bull_9_0.10,bear_9_0.10,bull_9_0.15,bear_9_0.15,bull_9_0.20,bear_9_0.20,bull_9_0.25,bear_9_0.25,bull_9_0.30,bear_9_0.30,bull_10_0.10,bear_10_0.10,bull_10_0.15,bear_10_0.15,bull_10_0.20,bear_10_0.20,bull_10_0.25,bear_10_0.25,bull_10_0.30,bear_10_0.30,bull_11_0.10,bear_11_0.10,bull_11_0.15,bear_11_0.15,bull_11_0.20,bear_11_0.20,bull_11_0.25,bear_11_0.25,bull_11_0.30,bear_11_0.30,bull_12_0.10,bear_12_0.10,bull_12_0.15,bear_12_0.15,bull_12_0.20,bear_12_0.20,bull_12_0.25,bear_12_0.25,bull_12_0.30,bear_12_0.30,bull_13_0.10,bear_13_0.10,bull_13_0.15,bear_13_0.15,bull_13_0.20,bear_13_0.20,bull_13_0.25,bear_13_0.25,bull_13_0.30,bear_13_0.30,bull_14_0.10,bear_14_0.10,bull_14_0.15,bear_14_0.15,bull_14_0.20,bear_14_0.20,bull_14_0.25,bear_14_0.25,bull_14_0.30,bear_14_0.30,nw_upper,nw_lower
2025-05-26,2551.22,2788.0,2468.56,2539.21,4022669.1595,77.7708,14.6044,75.5619,13.0936,73.208,11.8144,70.6945,10.6171,68.0045,9.6578,58.001,31.7781,55.3117,29.3491,52.5654,26.9675,49.7601,24.6321,46.8941,22.3415,42.3371,47.6304,39.8788,45.0713,37.4399,42.4913,35.0202,39.8902,32.6195,37.2676,32.8355,58.0456,30.7034,55.6059,28.6257,53.0967,26.6005,50.5151,24.6257,47.8578,26.338,65.3477,24.4494,63.0558,22.6286,60.6678,20.872,58.1776,19.1762,55.5785,20.4813,72.2482,18.8507,70.2172,17.2858,68.0884,15.7829,65.8548,14.3382,63.5084,16.2593,77.3241,14.8296,75.5193,13.4608,73.6218,12.1491,71.6245,10.891,69.519,13.7274,80.1236,12.3748,78.3706,11.0857,76.5164,9.8556,74.5519,8.6807,72.467,3299.9423,2032.9526
2025-06-02,2539.2,2679.88,2381.49,2509.83,3344811.759,93.9536,1.6798,92.5686,1.0004,91.0263,0.564,89.2983,0.1659,87.3488,0.0,73.6763,17.8675,71.2127,16.0452,68.5806,14.3207,65.762,12.6865,62.7365,11.1355,55.5153,33.4256,52.5973,30.8045,49.6139,28.2373,46.5629,25.7223,43.4419,23.2581,41.3261,48.0022,38.6881,45.3039,36.0618,42.5934,33.4473,39.8705,30.8445,37.1351,32.4124,57.7098,30.0675,55.1079,27.7694,52.4495,25.5167,49.7327,23.3081,46.9557,26.1898,64.5976,24.0566,62.1079,21.9855,59.5363,19.9737,56.8786,18.0189,54.1304,20.6079,71.2471,18.7486,69.0132,16.9529,66.6909,15.2175,64.2748,13.5395,61.7591,16.4977,76.1956,14.8509,74.165,13.2677,72.0416,11.7444,69.819,10.2778,67.49,3380.6953,2113.7055
2025-06-09,2509.84,2879.22,2436.98,2547.61,5090252.9755,97.8758,0.1899,97.2322,0.0,96.4973,0.0,95.6502,0.0,94.6631,0.0,90.1048,5.2185,88.6075,4.2948,86.9321,3.4455,85.0449,2.6621,82.9029,1.937,70.2642,19.9844,67.4468,17.8664,64.4482,15.8567,61.2505,13.9472,57.833,12.1306,53.6232,34.6606,50.5239,31.8907,47.3517,29.1802,44.1041,26.5275,40.7782,23.9305,40.4633,48.2306,37.6333,45.4076,34.8018,42.586,31.969,39.7658,29.1347,36.947,32.008,57.387,29.4415,54.6476,26.9076,51.8716,24.4056,49.0582,21.9351,46.2066,26.0497,63.9501,23.6951,61.2936,21.3948,58.5697,19.1467,55.776,16.9493,52.9095,20.6873,70.3541,18.6161,67.9294,16.6063,65.4231,14.6551,62.8311,12.7602,60.1489,3468.218,2201.2282
2025-06-16,2547.62,2680.34,2111.89,2227.7,4122506.1539,91.3765,5.9435,90.4958,5.4266,89.4967,4.9548,88.3538,4.5225,87.0336,4.1249,88.1335,6.2972,86.3753,5.183,84.4221,4.1544,82.2395,3.2019,79.7846,2.3174,79.6925,11.3681,77.0295,9.4814,74.1542,7.7087,71.0403,6.04,67.6567,4.4664,62.128,25.242,58.7334,22.302,55.2354,19.4418,51.6291,16.6583,47.9094,14.0788,47.7482,39.3234,44.4845,36.1226,41.208,32.9342,37.9186,29.758,34.6163,26.8552,36.156,51.9343,33.2685,48.8635,30.4157,45.7539,27.597,42.6264,24.8117,39.5529,28.6018,60.4405,26.0201,57.5317,23.497,54.5501,21.0308,51.4906,18.6194,48.3738,23.2708,66.58,20.9306,63.8255,18.6619,60.9749,16.4615,58.0233,14.3264,54.9333,3560.9475,2293.9578
2025-06-23,2227.7,2525.0,2188.0,2500.09,2961524.7848,88.7371,7.5101,87.448,6.8141,85.9505,6.1864,84.1894,5.6175,82.0887,5.0995,92.1522,4.2584,90.991,3.556,89.6848,2.9122,88.2044,2.3198,86.5127,1.7731,87.3555,6.6511,85.4552,5.4568,83.3394,4.3556,80.9694,3.3371,78.2963,2.3923,76.9064,12.4075,73.7755,10.1167,70.4217,7.953,66.8202,5.9059,62.9425,4.1368,59.9519,26.7185,56.3368,23.6427,52.5968,20.6602,48.7255,17.7668,44.7158,15.3701,46.0485,40.3733,42.5576,37.072,39.0267,33.8068,35.4553,30.639,31.8426,27.6994,34.9472,52.4099,31.8247,49.2103,28.7174,45.9948,25.6252,42.7749,22.5477,39.628,27.6835,60.5696,24.8738,57.499,22.1122,54.3718,19.3975,51.1866,16.7286,47.9554,3657.1692,2390.1795
2025-06-30,2500.09,2635.5,2373.0,2570.35,2819702.2414,86.4547,9.0003,84.886,8.1609,83.059,7.4049,80.9038,6.7203,78.3236,6.0977,90.3792,5.1145,88.8811,4.2541,87.1716,3.4713,85.2024,2.7561,82.9094,2.1,93.061,3.2467,91.8627,2.5264,90.5123,1.8667,88.9789,1.2602,87.2228,0.7009,86.2501,6.696,84.0374,5.2765,81.5873,3.9636,78.8592,2.7458,75.803,1.782,75.0069,13.5164,71.6333,11.0637,68.0139,8.7494,64.1207,6.5621,59.9215,5.0389,58.5512,27.8071,54.7787,24.7178,50.8425,21.7428,46.7317,18.9808,42.4345,16.6071,45.0362,40.8678,41.3445,37.5024,37.5818,34.1971,33.7462,30.9829,29.8354,28.0147,34.3381,52.3442,31.0018,49.0217,27.6626,45.702,24.3207,42.385,20.976,39.1467,3755.0453,2488.0556
2025-07-07,2570.35,3040.15,2512.0,2972.03,3937696.2647,87.6206,8.6367,86.4103,7.9042,85.0489,7.2326,83.5064,6.6147,81.744,6.0442,90.7661,5.0384,89.4188,4.2119,87.9088,3.4528,86.205,2.753,84.2673,2.1059,92.9554,3.3127,91.7522,2.5803,90.4011,1.9082,88.8729,1.2894,87.1304,0.7176,94.3704,2.2442,93.2937,1.5714,92.0931,0.9517,90.7458,0.379,89.2233,0.0,86.8678,6.2455,84.7451,4.8372,82.415,3.5279,79.8455,2.3075,76.9976,1.6796,76.2661,13.3662,73.2049,11.1598,69.9135,9.081,66.3651,7.2568,62.5284,5.8826,60.9789,26.3331,57.4321,23.4893,53.7137,20.7608,49.8107,18.1942,45.7093,16.0034,48.1731,38.3311,44.5918,35.1502,40.9215,32.0412,37.1586,29.0019,33.2998,26.1958,3852.6507,2585.6609
2025-07-14,2972.03,3824.56,2932.46,3756.69,6187124.6691,92.0567,5.8895,91.4434,5.4569,90.7805,5.0509,90.0617,4.6689,89.2796,4.3089,93.324,3.824,92.4646,3.2284,91.5317,2.6708,90.5153,2.1477,89.4037,1.656,94.59,2.6418,93.7406,2.0733,92.8103,1.544,91.7869,1.0501,90.6559,0.588,95.3856,1.8836,94.5437,1.3253,93.6195,0.8062,92.6003,0.3224,91.4706,0.0,96.0165,1.4536,95.2346,0.9376,94.3752,0.4581,93.4262,0.0116,92.3727,0.0,89.3918,5.307,87.7912,4.2021,86.0517,3.1684,84.1546,2.3194,82.0773,1.8148,80.5283,11.4922,78.1923,9.7803,75.6908,8.1629,73.0058,6.6934,70.116,5.5966,67.543,22.0943,64.648,19.7703,61.6139,17.5401,58.4301,15.398,55.0854,13.5583,3948.0158,2681.026
2025-07-21,3756.69,3879.82,3502.85,3872.1,4861139.2263,93.9654,4.5256,93.5214,4.2034,93.0448,3.8994,92.532,3.6123,91.9785,3.3405,94.6789,3.1029,94.0259,2.6296,93.3247,2.1831,92.5699,1.7614,91.7552,1.3624,95.4955,2.236,94.8142,1.7608,94.0757,1.3155,93.2726,0.8973,92.3959,0.5039,96.0901,1.6174,95.3956,1.1411,94.6396,0.696,93.8137,0.2789,92.9076,0.0,96.5305,1.2805,95.8639,0.8278,95.1365,0.4054,94.3396,0.0102,93.4627,0.0,96.8528,1.0821,96.2184,0.6585,95.5231,0.2643,94.7577,0.0,93.9111,0.0,90.783,4.8818,89.477,3.9763,88.0593,3.1285,86.5149,2.3891,84.8261,1.9581,82.8391,10.3369,80.8452,8.8703,78.712,7.4837,76.4245,6.1709,73.9651,5.1615,4039.1773,2772.1876
2025-07-28,3872.11,3941.0,3354.28,3496.74,3821131.0731,94.2203,4.2491,93.7582,3.9301,93.2561,3.6316,92.7084,3.3517,92.1089,3.0887,94.9619,2.9203,94.3335,2.4716,93.6564,2.0495,92.9245,1.6517,92.131,1.2762,95.668,2.1443,95.0086,1.6877,94.2925,1.2602,93.5123,0.8591,92.6588,0.4822,96.1892,1.5684,95.5053,1.1054,94.7585,0.6735,93.9396,0.2697,93.0377,0.0,96.6343,1.2354,95.981,0.7978,95.2656,0.3903,94.4789,0.0099,93.6096,0.0,96.9291,1.054,96.3081,0.6412,95.6269,0.2573,94.876,0.0,94.0444,0.0,97.1686,0.9865,96.5933,0.6133,95.958,0.2675,95.2528,0.0,94.4658,0.0,90.9774,4.9198,89.7256,4.0729,88.3585,3.2829,86.8593,2.5445,85.2077,2.0832,4124.234,2857.2442
