close_date,open,high,low,close,volume,bull_7_0.10,bear_7_0.10,bull_7_0.15,bear_7_0.15,bull_7_0.20,bear_7_0.20,bull_7_0.25,bear_7_0.25,bull_8_0.10,bear_8_0.10,bull_8_0.15,bear_8_0.15,bull_8_0.20,bear_8_0.20,bull_8_0.25,bear_8_0.25,bull_9_0.10,bear_9_0.10,bull_9_0.15,bear_9_0.15,bull_9_0.20,bear_9_0.20,bull_9_0.25,bear_9_0.25,bull_10_0.10,bear_10_0.10,bull_10_0.15,bear_10_0.15,bull_10_0.20,bear_10_0.20,bull_10_0.25,bear_10_0.25
2024-08-19,58427.35,65000.0,57787.3,64220.0,169792.31289,37.697,49.1332,34.5838,45.6489,31.5378,42.0825,28.5567,38.4309,27.3524,62.3721,24.9497,59.6229,22.6084,56.7956,20.3263,53.8865,24.6619,65.8918,22.4856,63.3257,20.3765,60.6692,18.3315,57.9174,22.8654,68.319,20.8623,65.8896,18.931,63.3587,17.0676,60.7198
2024-08-26,64219.99,64481.0,57201.0,57301.86,176518.33308,34.7458,53.2177,31.8929,50.042,29.0986,46.7952,26.3611,43.4749,30.7915,57.3168,28.0369,54.1043,25.3621,50.7866,22.7637,47.3585,23.4939,67.2838,21.3869,64.7566,19.3514,62.1304,17.3837,59.3992,21.7402,69.7194,19.8121,67.35,17.9574,64.8742,16.1719,62.2848
2024-09-02,57301.77,59809.65,52550.0,54869.95,196506.89846,18.418,72.2612,16.3907,69.5722,14.4662,66.7122,12.6367,63.6645,27.7871,61.5953,25.3187,58.7378,22.9186,55.7915,20.5839,52.7522,25.0558,64.8294,22.7675,62.0294,20.5646,59.1066,18.4424,56.0527,20.0829,71.9389,18.2888,69.7165,16.5653,67.3902,14.9084,64.9525
2024-09-09,54869.95,60625.0,54591.96,59132.0,175833.33846,7.9396,85.5959,6.7613,83.2192,5.6782,80.6398,4.6791,77.8304,16.8943,73.5628,14.865,70.4046,12.953,67.1242,11.1482,63.7144,26.0247,63.2441,23.6151,60.2191,21.3018,56.9818,19.079,53.6934,23.6813,66.276,21.4747,63.4094,19.3726,60.3715,17.3675,57.0554
2024-09-16,59132.0,64133.32,57493.3,63578.76,178097.29669,22.8611,65.703,20.4886,62.2404,18.2572,58.6213,16.1544,54.8349,16.4501,74.8876,14.6362,71.9141,12.9357,68.8043,11.3385,65.5485,23.1362,66.0933,20.7348,63.0247,18.4351,59.6923,16.2308,56.301,30.4691,58.2074,27.8236,55.1753,25.2466,52.0549,22.7353,48.8601
2024-09-23,63578.76,66498.0,62538.75,65602.01,132963.29721,40.364,46.509,37.2674,43.1421,34.2441,39.7783,31.2915,36.4177,31.859,56.0646,29.1472,52.6525,26.5433,49.2005,24.0411,45.7078,24.5879,65.0955,22.2986,62.1435,20.1099,58.9371,18.0153,55.6652,29.937,58.6793,27.2789,55.6293,24.6901,52.4896,22.168,49.269
2024-09-30,65602.01,65618.8,59828.11,62819.91,169447.68762,49.2035,37.0257,45.5525,33.9532,41.8333,31.0129,38.115,28.1963,39.397,46.3206,35.9412,42.7642,32.5296,39.2883,29.1615,35.8901,31.5503,55.2748,28.4625,51.7524,25.451,48.185,22.5129,44.6478,24.7873,63.5899,22.1049,60.4383,19.5036,57.1753,16.9799,53.7484
2024-10-07,62819.91,64478.19,58946.0,62870.02,136109.36376,44.4846,40.5516,40.5488,37.1697,36.5815,33.9361,33.0088,30.8412,47.7499,36.9695,43.6816,33.6928,39.5068,30.6112,35.3604,27.7077,38.5728,46.2767,34.7554,42.5465,30.9261,39.0225,27.0952,35.6378,31.2208,54.5433,27.7468,50.8968,24.3058,47.2156,20.8974,43.5984
2024-10-14,62870.02,69400.0,62457.81,69031.99,185982.16665,69.7156,20.1532,66.6298,18.3138,63.2915,16.6167,59.4736,15.046,55.2513,31.9268,51.8726,29.2285,48.4208,26.6684,44.9344,24.2363,56.747,30.4165,53.2474,27.5425,49.6187,25.1033,45.8555,22.8143,48.2052,38.5916,44.7394,35.4464,41.2037,32.3669,37.5959,29.6173
2024-10-21,69032.0,69519.52,65260.0,68021.7,159069.27886,97.4625,0.0,96.3829,0.0,95.0103,0.0,92.0266,0.0,71.9984,17.6679,68.9989,15.9735,65.8015,14.4161,62.2745,12.9797,59.3311,28.6587,56.0654,25.9679,52.6831,23.7005,49.1782,21.5672,60.6221,27.7187,57.3412,25.122,53.8912,22.6465,50.2587,20.6362
2024-10-28,68021.69,73620.12,67478.73,68775.99,209232.69647,100.0,0.0,100.0,0.0,99.8619,0.0,98.2487,0.0,95.8756,0.0,94.5342,0.0,93.0246,0.0,90.8603,0.0,74.2576,16.346,71.4796,14.4542,68.4911,13.116,65.2598,11.8883,62.8899,26.1616,59.8148,23.7187,56.5841,21.3888,53.1856,19.5095
2024-11-04,68775.99,81500.0,66835.0,80370.01,327445.15705,100.0,0.0,100.0,0.0,99.9062,0.0,98.8229,0.0,100.0,0.0,100.0,0.0,100.0,0.0,99.6448,0.0,96.5348,0.4919,95.6174,0.0,94.6098,0.0,93.4809,0.0,81.6856,12.0854,79.8601,10.7504,77.9044,9.5004,75.8041,8.6844
2024-11-11,80370.01,93265.64,80216.01,89855.99,417630.302334,100.0,0.0,100.0,0.0,99.9357,0.0,99.1965,0.0,100.0,0.0,100.0,0.0,100.0,0.0,99.7582,0.0,100.0,0.0,100.0,0.0,100.0,0.0,99.9866,0.0,97.4078,0.74,96.8505,0.3527,96.246,0.0,95.588,0.0
2024-11-18,89855.98,99588.01,89376.9,97900.04,303784.771782,100.0,0.0,100.0,0.0,99.956,0.0,99.564,0.0,100.0,0.0,100.0,0.0,100.0,0.0,99.8206,0.0,100.0,0.0,100.0,0.0,100.0,0.0,99.9902,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
2024-11-25,97900.05,98871.8,90791.1,97185.18,237818.37314,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,99.8528,0.0,100.0,0.0,100.0,0.0,100.0,0.0,99.9916,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
2024-12-02,97185.17,104088.0,90500.0,101109.59,302152.735462,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,99.9929,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
2024-12-09,101109.6,105250.0,94150.05,104463.99,230968.339905,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
2024-12-16,104463.99,108353.0,92232.54,95186.27,281544.242246,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
2024-12-23,95186.28,99963.7,92520.0,93738.2,140614.68725,99.8239,0.0,99.4557,0.0,99.049,0.0,98.5975,0.0,100.0,0.0,100.0,0.0,100.0,0.0,99.6516,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
2024-12-30,93738.19,98976.91,91530.45,98363.61,111914.7951,99.7881,0.0,99.3422,0.0,98.8451,0.0,98.2876,0.0,100.0,0.0,100.0,0.0,100.0,0.0,99.6176,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
2025-01-06,98363.61,102724.38,91203.67,94545.06,172710.45967,98.5591,0.0,97.3679,0.0,96.0378,0.0,94.5429,0.0,100.0,0.0,100.0,0.0,100.0,0.0,99.2887,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
2025-01-13,94545.07,106422.43,89256.69,101331.57,235685.9926,98.2533,0.0,96.8184,0.0,95.2258,0.0,93.4479,0.0,100.0,0.0,100.0,0.0,100.0,0.0,99.1004,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
2025-01-20,101331.57,109588.0,99550.0,102620.0,254162.140922,97.7766,0.0,95.9694,0.0,93.9835,0.0,91.7911,0.0,100.0,0.0,100.0,0.0,100.0,0.0,98.9389,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
2025-01-27,102620.01,106457.44,96150.0,97700.59,184203.26328,93.1275,0.0,89.0039,0.0,84.6639,0.0,80.0898,0.0,100.0,0.0,99.7439,0.0,99.0142,0.0,96.7082,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0
2025-02-03,97700.59,102500.01,91231.0,96462.75,221243.61368,84.1518,4.3739,79.5357,3.2651,75.0169,2.2716,70.5922,1.3762,95.438,1.1025,93.802,0.4995,91.2833,0.0,86.5378,0.0,98.9583,0.0,98.3842,0.0,97.715,0.0,96.9248,0.0,100.0,0.0,100.0,0.0,99.7426,0.0,99.3681,0.0
2025-02-10,96462.75,98826.0,94088.23,96118.12,122007.40976,77.8857,8.9823,74.0788,6.9965,70.3053,5.1459,66.5646,3.4171,89.5457,3.2655,86.9226,1.8508,83.5717,0.5934,78.6392,0.0,96.0836,0.0879,94.4154,0.0,92.4545,0.0,90.1166,0.0,99.6368,0.0,99.2057,0.0,98.363,0.0,97.2784,0.0
2025-02-17,96118.12,99475.0,93388.09,96258.0,127758.44873,66.8669,14.5716,62.2608,11.0238,57.8977,7.6335,53.7588,4.5359,85.5641,4.557,82.4701,2.3907,78.8706,0.6714,74.8766,0.0,93.7106,0.1064,91.2388,0.0,88.4926,0.0,85.4237,0.0,99.4179,0.0,98.287,0.0,96.4461,0.0,94.1221,0.0
