date,7_0.10,7_0.15,7_0.20,7_0.25,8_0.10,8_0.15,8_0.20,8_0.25,9_0.10,9_0.15,9_0.20,9_0.25,10_0.10,10_0.15,10_0.20,10_0.25
2024-06-10,16,16,16,16,32,32,32,32,32,32,32,32,32,32,32,32
2024-06-17,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
2024-06-24,32,32,0,0,32,32,32,32,32,32,32,32,32,32,32,32
2024-07-01,40,40,40,40,40,40,40,40,40,40,40,40,32,32,32,32
2024-07-08,32,32,32,32,32,32,32,32,32,32,32,48,40,40,40,40
2024-07-15,16,16,16,16,16,16,16,16,20,20,20,20,20,20,20,20
2024-07-22,16,16,16,16,16,16,16,16,40,40,56,56,16,16,16,16
2024-07-29,32,32,32,32,32,32,32,32,32,32,32,32,40,40,40,40
2024-08-05,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
2024-08-12,32,32,48,48,32,32,32,48,32,32,32,32,32,32,32,32
2024-08-19,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
2024-08-26,32,32,32,32,16,16,16,16,32,32,32,32,32,32,32,32
2024-09-02,32,32,32,32,32,32,32,32,16,16,16,16,32,32,32,32
2024-09-09,32,32,32,32,32,32,32,32,16,16,16,16,16,16,16,16
2024-09-16,16,16,16,16,32,32,32,0,32,32,32,32,16,16,16,16
2024-09-23,16,16,16,16,16,16,16,16,16,16,16,16,32,32,32,32
2024-09-30,20,20,20,20,16,16,16,16,16,16,16,16,32,32,32,32
2024-10-07,32,32,32,32,20,20,20,20,16,16,16,16,16,16,16,16
2024-10-14,16,16,16,16,16,16,16,16,20,20,20,20,20,20,20,20
2024-10-21,144,144,144,144,16,16,16,16,16,16,16,16,16,16,16,16
2024-10-28,0,0,0,0,144,144,144,144,16,16,16,16,16,16,16,16
2024-11-04,0,0,0,0,0,0,0,0,16,144,144,144,16,16,16,16
2024-11-11,0,0,0,0,0,0,0,0,144,0,0,0,16,16,144,144
2024-11-18,0,0,0,0,0,0,0,0,0,0,0,0,144,144,0,0
2024-11-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-12-23,32,32,32,32,0,0,0,32,0,0,0,0,0,0,0,0
2024-12-30,32,32,32,32,0,0,0,32,0,0,0,0,0,0,0,0
2025-01-06,32,32,32,32,0,0,0,32,0,0,0,0,0,0,0,0
2025-01-13,32,32,32,32,0,0,0,32,0,0,0,0,0,0,0,0
2025-01-20,32,32,32,32,0,0,0,32,0,0,0,0,0,0,0,0
2025-01-27,32,32,32,32,0,32,32,32,0,0,0,0,0,0,0,0
2025-02-03,34,34,34,34,34,34,32,32,32,32,32,32,0,0,32,32
2025-02-10,32,32,32,32,32,32,34,32,34,32,32,32,32,32,32,32
2025-02-17,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
2025-02-24,32,32,32,32,32,32,32,34,32,34,34,34,34,34,34,34
2025-03-03,40,40,40,40,40,40,40,40,32,32,32,32,32,32,32,32
2025-03-10,96,96,96,96,32,32,32,32,40,40,40,40,40,40,40,40
2025-03-17,0,0,0,0,32,96,96,96,32,32,32,32,32,32,32,32
2025-03-24,0,0,0,0,96,0,0,0,32,32,32,32,32,32,32,32
2025-03-31,0,0,0,0,0,0,0,0,96,96,96,96,32,32,32,32
2025-04-07,0,0,0,16,0,0,0,0,0,0,0,0,32,32,96,96
2025-04-14,17,16,16,16,16,16,16,16,16,16,16,16,96,96,0,0
2025-04-21,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
2025-04-28,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
2025-05-05,20,20,20,20,20,20,20,20,16,16,16,16,16,16,16,16
2025-05-12,16,16,16,16,16,16,16,16,20,20,20,20,20,20,20,20
2025-05-19,16,16,16,144,16,16,16,16,16,16,16,16,16,16,16,16
2025-05-26,144,144,144,0,16,16,16,16,16,16,16,16,16,16,16,16
2025-06-02,0,0,0,0,144,144,144,144,16,16,16,16,16,16,16,16
2025-06-09,0,0,0,0,0,0,0,0,144,144,144,144,16,16,16,16
2025-06-16,34,34,34,34,34,34,34,32,0,0,0,0,16,144,144,144
2025-06-23,32,32,32,32,32,32,0,0,32,32,32,32,144,0,0,0
2025-06-30,32,32,32,32,32,32,32,32,32,32,0,0,32,32,32,32
2025-07-07,16,16,0,0,0,0,0,0,32,0,0,0,0,0,0,0
2025-07-14,16,16,16,16,32,32,32,32,32,32,32,32,32,32,32,32
2025-07-21,16,16,16,16,16,16,16,0,32,32,32,32,32,32,32,32
2025-07-28,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
2025-08-04,144,144,144,144,16,16,16,0,0,0,0,0,0,0,0,0
2025-08-11,0,32,32,32,144,144,144,0,32,32,32,32,32,32,32,32
2025-08-18,34,34,34,34,34,34,34,34,2,0,0,0,32,32,32,32
2025-08-25,32,32,32,32,32,32,32,32,32,34,34,34,34,34,34,34
2025-09-01,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
2025-09-08,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
2025-09-15,16,16,0,0,32,32,32,32,32,32,32,32,32,32,32,32
2025-09-22,40,40,40,40,32,32,32,32,32,32,32,32,32,32,32,32
2025-09-29,20,20,20,20,16,16,16,16,16,16,16,16,32,32,32,32
2025-10-06,16,16,16,16,32,32,32,32,32,32,32,32,32,32,32,32
2025-10-13,32,32,32,32,40,40,40,40,40,40,40,40,32,32,32,32
2025-10-20,16,16,16,16,20,20,20,20,20,20,20,20,32,32,32,32
2025-10-27,40,40,40,40,32,32,32,32,16,16,16,16,40,40,40,32
2025-11-03,32,32,32,32,40,40,40,40,40,40,40,40,32,32,32,40
2025-11-10,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
2025-11-17,32,96,96,96,32,32,32,32,32,32,32,32,32,32,32,32
2025-11-24,32,0,0,0,32,96,96,96,32,32,32,32,32,32,32,32
2025-12-01,32,0,16,16,32,0,0,0,32,96,96,96,32,32,32,32
2025-12-08,96,0,0,0,32,0,0,0,32,0,0,0,32,32,96,96
2025-12-15,0,0,0,0,96,0,0,0,32,0,0,16,32,32,0,0
2025-12-22,0,0,0,0,0,0,0,0,96,0,0,0,32,32,0,0
2025-12-29,0,0,16,16,0,0,0,0,0,0,0,0,96,96,0,0
2026-01-05,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-12,17,17,17,17,17,17,17,17,17,17,17,17,16,16,16,16
2026-01-19,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
2026-01-26,32,32,32,32,32,32,32,32,32,0,0,0,16,16,16,16
2026-02-02,32,32,32,32,32,32,32,32,32,32,32,32,0,0,0,0
2026-02-09,32,32,32,32,32,32,32,32,32,32,32,32,0,0,0,0
2026-02-16,32,32,32,32,32,32,32,32,32,32,32,32,0,0,0,0
2026-02-23,32,32,32,32,32,32,32,32,32,32,32,32,0,0,0,0
2026-03-02,96,96,96,96,32,32,32,32,32,32,32,32,0,0,0,0
2026-03-09,17,17,16,16,96,96,96,96,48,48,48,48,16,16,16,16
2026-03-16,16,16,16,16,16,16,16,16,96,96,96,96,0,0,0,0
2026-03-23,16,16,16,16,16,16,16,16,0,0,0,16,0,0,0,0
2026-03-30,16,16,16,16,16,16,16,16,0,16,16,16,0,0,0,16
2026-04-06,16,16,17,17,17,17,16,16,16,16,16,16,0,0,0,16
2026-04-13,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17
2026-04-20,20,20,20,20,16,16,16,16,16,16,16,16,16,16,16,16
2026-04-27,16,16,16,16,20,20,20,20,16,16,16,16,16,16,16,16
2026-05-04,16,16,16,16,16,16,16,16,20,20,20,20,16,16,16,16
2026-05-11,16,16,16,144,16,16,16,16,16,16,16,16,20,20,20,20
2026-05-18,144,144,144,0,16,16,16,16,16,16,16,16,16,16,16,16
2026-05-25,34,34,34,34,32,32,32,32,16,16,16,16,16,16,16,16
2026-06-01,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
2026-06-08,40,40,40,40,32,32,32,32,32,32,32,32,32,32,32,32
2026-06-15,32,32,32,32,40,40,40,40,40,40,40,40,40,40,40,40
2026-06-22,32,32,32,96,32,32,32,32,32,32,32,32,32,32,32,32
2026-06-29,32,96,96,0,32,32,32,96,32,32,32,32,32,32,32,32
