date,7_0.10,7_0.15,7_0.20,7_0.25,8_0.10,8_0.15,8_0.20,8_0.25,9_0.10,9_0.15,9_0.20,9_0.25,10_0.10,10_0.15,10_0.20,10_0.25
2019-06-03,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-01,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-08,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-15,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
2019-07-22,34,34,34,34,34,34,32,32,32,32,32,32,32,32,32,32
2019-07-29,32,32,32,32,16,16,0,0,32,32,32,32,32,32,32,32
2019-08-05,32,32,32,32,32,32,32,32,0,0,0,0,32,32,32,32
2019-08-12,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
2019-08-19,32,32,32,32,32,32,34,34,34,32,32,32,32,32,32,32
2019-08-26,32,32,32,32,32,32,32,32,32,34,34,34,34,34,34,34
2019-09-02,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
2019-09-09,16,16,16,16,32,32,32,32,32,32,32,32,32,32,32,32
2019-09-16,32,32,32,32,0,0,0,0,32,32,32,32,32,32,32,32
2019-09-23,40,40,104,104,40,40,40,40,32,32,32,32,32,32,32,32
2019-09-30,32,32,0,0,32,32,32,32,40,40,40,40,40,40,40,40
2019-10-07,32,32,0,0,32,32,32,32,32,32,32,32,32,32,32,32
2019-10-14,32,32,16,16,32,32,32,32,32,32,32,32,32,32,32,32
2019-10-21,16,16,17,17,16,16,16,16,16,16,16,16,16,16,16,16
2019-10-28,16,16,16,16,32,48,48,48,16,16,16,16,16,48,48,48
2019-11-04,16,16,16,16,32,32,32,32,32,32,32,32,16,16,16,16
2019-11-11,16,16,16,16,32,32,32,32,32,32,32,32,32,32,32,32
2019-11-18,32,32,32,32,16,16,16,16,32,32,32,32,32,32,32,32
2019-11-25,32,32,32,32,16,16,16,16,16,16,16,16,32,32,32,32
2019-12-02,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
2019-12-09,32,32,32,96,32,32,32,32,16,16,16,16,16,16,16,16
2019-12-16,96,96,96,0,32,96,96,96,16,16,16,16,16,16,16,16
2019-12-23,0,0,0,0,96,0,0,0,32,96,96,96,16,16,16,16
2019-12-30,0,0,0,0,0,0,0,0,96,0,0,0,96,96,96,96
2020-01-06,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
2020-01-13,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
2020-01-20,20,20,20,20,16,16,16,16,16,16,16,16,16,16,16,16
2020-01-27,16,16,16,16,20,20,20,20,20,20,20,20,16,16,16,16
2020-02-03,16,16,16,16,16,16,16,16,16,16,16,16,20,20,20,20
2020-02-10,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
2020-02-17,144,144,144,144,16,16,16,16,16,16,16,16,16,16,16,16
2020-02-24,34,34,34,34,32,32,32,32,32,32,32,32,32,32,48,48
2020-03-02,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
2020-03-09,40,40,40,40,32,32,32,32,32,32,32,32,32,32,32,32
2020-03-16,32,32,32,32,40,40,40,40,40,40,40,40,40,40,40,40
2020-03-23,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
2020-03-30,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
2020-04-06,96,96,96,96,32,32,32,32,32,32,32,32,32,32,32,32
2020-04-13,17,16,16,16,96,96,96,96,32,32,32,32,32,32,32,32
2020-04-20,16,17,17,17,17,17,17,17,32,32,32,32,32,32,32,32
2020-04-27,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
2020-05-04,20,20,20,20,16,16,16,16,16,16,16,16,16,16,16,16
2020-05-11,16,144,144,144,20,20,20,20,20,20,20,20,16,16,16,16
2020-05-18,144,0,0,0,16,16,144,144,16,16,16,16,20,20,20,20
2020-05-25,0,0,0,0,16,144,0,0,16,16,16,144,16,16,16,16
2020-06-01,0,0,0,0,144,0,0,0,16,144,144,0,16,16,16,16
2020-06-08,0,0,0,0,0,0,0,0,144,0,0,0,16,16,144,144
2020-06-15,0,0,0,0,0,0,0,0,0,0,0,0,144,144,0,0
2020-06-22,32,32,32,32,0,0,32,32,0,0,0,0,0,0,0,0
2020-06-29,34,32,32,32,32,32,32,32,0,0,32,32,0,0,0,0
2020-07-06,32,32,0,0,32,32,32,32,0,0,32,32,0,0,0,0
2020-07-13,32,32,32,32,32,32,32,32,0,0,32,32,0,0,0,0
2020-07-20,32,32,32,32,32,32,32,32,0,0,0,0,0,0,0,0
2020-07-27,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-03,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-17,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-31,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
2020-09-07,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
2020-09-14,32,32,32,32,32,32,32,32,16,16,16,48,48,48,48,48
2020-09-21,32,32,32,32,32,32,32,32,32,32,32,32,32,32,48,48
2020-09-28,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
2020-10-05,40,40,40,40,32,32,32,32,32,32,32,32,32,32,32,32
2020-10-12,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
2020-10-19,20,20,20,20,16,16,16,16,16,16,16,16,16,16,16,16
2020-10-26,16,16,144,144,16,16,16,16,16,16,16,16,16,16,16,16
2020-11-02,16,16,0,0,16,144,144,144,16,16,16,16,16,16,16,16
2020-11-09,16,16,0,0,16,0,0,0,144,144,144,144,16,16,16,16
2020-11-16,144,144,0,0,16,0,0,0,0,0,0,0,144,144,144,144
2020-11-23,0,0,0,0,144,0,0,0,0,0,0,0,0,0,0,0
2020-11-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-19,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
2021-04-26,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
2021-05-03,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
2021-05-10,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
2021-05-17,40,40,40,40,40,40,40,40,32,32,32,32,32,32,32,32
2021-05-24,32,32,32,32,32,32,32,32,40,40,40,40,40,40,40,40
2021-05-31,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
2021-06-07,16,16,16,16,32,32,32,32,32,32,32,32,32,32,32,32
2021-06-14,32,32,32,32,32,32,32,48,32,32,32,32,32,32,32,32
2021-06-21,96,96,96,96,32,32,32,32,32,32,32,32,32,32,32,32
2021-06-28,0,0,0,0,96,96,96,96,32,32,32,32,32,32,32,32
2021-07-05,0,0,0,0,0,0,0,0,96,96,96,96,32,32,32,32
2021-07-12,0,0,0,0,0,0,0,0,0,0,0,0,96,96,96,96
2021-07-19,0,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-26,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
2021-08-02,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
2021-08-09,20,20,20,20,16,16,16,16,16,16,16,16,16,16,16,16
2021-08-16,16,16,16,16,20,20,20,20,20,20,20,20,16,16,16,16
