date,open,high,low,close,volume,pct_change,ema12,ema20,ema26,az_bullish,adx14,di_plus,di_minus,big_swing_high,big_swing_low,big_pivot_label,big_break,small_swing_high,small_swing_low,small_pivot_label,small_break,structure_action,a_liquidate_price,a_pct_liquidate,a_leverage,a_position_size,a_notional,a_total,a_pnl,a_pct_pnl,a_margin,a_position,a_unrealized,a_realized,a_action,b_liquidate_price,b_pct_liquidate,b_leverage,b_position_size,b_notional,b_total,b_pnl,b_pct_pnl,b_margin,b_position,b_unrealized,b_realized,b_action
2024-06-20,3560.51,3625.96,3486.0,3513.08,329117.85,-1.33,3565.68,3582.66,3575.54,False,22.9,17.98,24.2,,,,,3625.96,,LH,,BIG HL confirmed @ 2817.00,,,,,,1616.0,0.0,0.0,0.0,0.0,,1616.0,,,,,,,4189.95,0.0,0.0,0.0,0.0,,4189.95,
2024-06-21,3513.08,3547.55,3446.82,3518.5,342155.1,0.15,3558.42,3576.55,3571.32,False,22.61,17.06,24.95,,,,,,,,,,,,,,,1616.0,0.0,0.0,0.0,0.0,,1616.0,,,,,,,4189.95,0.0,0.0,0.0,0.0,,4189.95,
2024-06-22,3518.5,3521.19,3475.09,3495.75,115774.62,-0.65,3548.78,3568.86,3565.72,False,22.33,16.64,24.34,,,,,,,,,,,,,,,1616.0,0.0,0.0,0.0,0.0,,1616.0,,,,,,,4189.95,0.0,0.0,0.0,0.0,,4189.95,
2024-06-23,3495.76,3521.45,3406.38,3420.91,133411.43,-2.14,3529.11,3554.77,3554.99,False,22.59,15.61,26.53,,,,,,,,,SMALL LL confirmed @ 3355.00,,,,,,1616.0,0.0,0.0,0.0,0.0,,1616.0,,,,,,,4189.95,0.0,0.0,0.0,0.0,,4189.95,
2024-06-24,3420.91,3435.76,3240.0,3352.73,543370.42,-1.99,3501.97,3535.53,3540.01,False,23.81,14.02,32.49,,,,,,3240.0,LL,BEAR_BOS,SMALL BEAR BOS @ 3352.73 (level 3355.00),,,,,,1616.0,0.0,0.0,0.0,0.0,,1616.0,,,,,,,4189.95,0.0,0.0,0.0,0.0,,4189.95,
2024-06-25,3352.74,3430.88,3336.76,3394.91,240036.22,1.26,3485.5,3522.13,3529.26,False,24.95,13.32,30.86,,,,,,,,,SMALL LH confirmed @ 3625.96,,,,,,1616.0,0.0,0.0,0.0,0.0,,1616.0,,,,,,,4189.95,0.0,0.0,0.0,0.0,,4189.95,
2024-06-26,3394.91,3426.75,3325.01,3371.44,206949.34,-0.69,3467.95,3507.78,3517.57,False,26.07,12.58,29.8,,,,,,,,,,,,,,,1616.0,0.0,0.0,0.0,0.0,,1616.0,,,,,,,4189.95,0.0,0.0,0.0,0.0,,4189.95,
2024-06-27,3371.77,3477.0,3361.74,3450.44,201041.66,2.34,3465.26,3502.32,3512.6,False,26.46,14.54,27.92,,,,,,,,,,,,,,,1616.0,0.0,0.0,0.0,0.0,,1616.0,,,,,,,4189.95,0.0,0.0,0.0,0.0,,4189.95,
2024-06-28,3450.44,3487.7,3365.22,3380.15,221634.34,-2.04,3452.16,3490.69,3502.79,False,26.68,14.15,26.04,,,,,,,,,,,,,,,1616.0,0.0,0.0,0.0,0.0,,1616.0,,,,,,,4189.95,0.0,0.0,0.0,0.0,,4189.95,
2024-06-29,3380.15,3408.32,3371.86,3378.8,88329.77,-0.04,3440.88,3480.03,3493.6,False,26.89,13.85,25.49,,,,,,,,,SMALL LL confirmed @ 3240.00,,,,,,1616.0,0.0,0.0,0.0,0.0,,1616.0,,,,,,,4189.95,0.0,0.0,0.0,0.0,,4189.95,
2024-06-30,3378.8,3460.0,3352.66,3438.16,141221.62,1.76,3440.46,3476.04,3489.5,False,26.38,16.0,23.89,,,,,,,,,,,,,,,1616.0,0.0,0.0,0.0,0.0,,1616.0,,,,,,,4189.95,0.0,0.0,0.0,0.0,,4189.95,
2024-07-01,3438.16,3524.94,3423.78,3442.2,224273.21,0.12,3440.73,3472.82,3485.99,False,25.11,18.89,22.46,,,,,3524.94,,LH,,,,,,,,1616.0,0.0,0.0,0.0,0.0,,1616.0,,,,,,,4189.95,0.0,0.0,0.0,0.0,,4189.95,
2024-07-02,3442.2,3464.12,3402.0,3421.35,137932.7,-0.61,3437.75,3467.92,3481.2,False,24.15,18.17,22.94,,,,,,,,,,,,,,,1616.0,0.0,0.0,0.0,0.0,,1616.0,,,,,,,4189.95,0.0,0.0,0.0,0.0,,4189.95,
2024-07-03,3421.35,3432.1,3251.0,3295.48,310408.45,-3.68,3415.86,3451.49,3467.45,False,24.49,16.23,29.39,,,,,,,,,,,,,,,1616.0,0.0,0.0,0.0,0.0,,1616.0,,,,,,,4189.95,0.0,0.0,0.0,0.0,,4189.95,
2024-07-04,3295.49,3313.45,3050.34,3059.7,450402.57,-7.15,3361.07,3414.18,3437.24,False,25.91,13.9,36.11,,,,,,,,BEAR_BOS,SMALL BEAR BOS @ 3059.70 (level 3240.00),,,,,,1616.0,0.0,0.0,0.0,0.0,,1616.0,,,,,,,4189.95,0.0,0.0,0.0,0.0,,4189.95,
2024-07-05,3059.7,3110.0,2810.0,2981.78,886994.38,-2.55,3302.71,3373.0,3403.51,False,28.1,11.82,42.69,,,,,,2810.0,LL,,,,,,,,1616.0,0.0,0.0,0.0,0.0,,1616.0,,,,,,,4189.95,0.0,0.0,0.0,0.0,,4189.95,
2024-07-06,2981.79,3081.78,2955.06,3066.83,214487.97,2.85,3266.42,3343.84,3378.57,False,30.14,11.07,39.97,,,,,,,,,SMALL LH confirmed @ 3524.94,,,,,,1616.0,0.0,0.0,0.0,0.0,,1616.0,,,,,,,4189.95,0.0,0.0,0.0,0.0,,4189.95,
2024-07-07,3066.83,3073.08,2922.24,2931.0,179892.76,-4.43,3214.82,3304.52,3345.41,False,32.13,10.23,38.59,,,,,,,,,,,,,,,1616.0,0.0,0.0,0.0,0.0,,1616.0,,,,,,,4189.95,0.0,0.0,0.0,0.0,,4189.95,
2024-07-08,2930.99,3097.06,2822.8,3019.01,500445.01,3.0,3184.7,3277.33,3321.24,False,34.28,8.92,38.29,,,,,,,,,,,,,,,1616.0,0.0,0.0,0.0,0.0,,1616.0,,,,,,,4189.95,0.0,0.0,0.0,0.0,,4189.95,
2024-07-09,3019.01,3115.2,3004.0,3066.65,280358.14,1.58,3166.53,3257.27,3302.38,False,36.06,9.31,36.25,,,,,,,,,,,,,,,1616.0,0.0,0.0,0.0,0.0,,1616.0,,,,,,,4189.95,0.0,0.0,0.0,0.0,,4189.95,
2024-07-10,3066.65,3151.51,3024.0,3101.05,270827.08,1.12,3156.46,3242.39,3287.46,False,37.26,10.49,34.02,,,,,,,,,SMALL LL confirmed @ 2810.00,,,,,,1616.0,0.0,0.0,0.0,0.0,,1616.0,,,,,,,4189.95,0.0,0.0,0.0,0.0,,4189.95,
2024-07-11,3101.06,3217.24,3054.76,3099.57,289229.32,-0.05,3147.71,3228.79,3273.55,False,37.59,12.83,31.36,,,,,,,,,,,,,,,1616.0,0.0,0.0,0.0,0.0,,1616.0,,,,,,,4189.95,0.0,0.0,0.0,0.0,,4189.95,
2024-07-12,3099.57,3157.89,3045.58,3133.88,185745.18,1.11,3145.58,3219.75,3263.2,False,37.95,12.13,30.09,,,,,,,,,,,,,,,1616.0,0.0,0.0,0.0,0.0,,1616.0,,,,,,,4189.95,0.0,0.0,0.0,0.0,,4189.95,
2024-07-13,3133.89,3201.8,3113.37,3175.93,119302.48,1.34,3150.25,3215.57,3256.74,False,37.75,13.8,28.75,,,,,,,,,,,,,,,1616.0,0.0,0.0,0.0,0.0,,1616.0,,,,,,,4189.95,0.0,0.0,0.0,0.0,,4189.95,
2024-07-14,3175.93,3268.72,3163.67,3245.08,165430.77,2.18,3164.84,3218.38,3255.87,False,36.8,16.48,27.2,,,,,,,,,,,,,,,1616.0,0.0,0.0,0.0,0.0,,1616.0,,,,,,,4189.95,0.0,0.0,0.0,0.0,,4189.95,
2024-07-15,3245.2,3493.63,3233.22,3483.39,314296.85,7.34,3213.85,3243.62,3272.73,False,34.39,25.27,23.78,,,,,,,,,,,,,,,1616.0,0.0,0.0,0.0,0.0,,1616.0,,,,,,,4189.95,0.0,0.0,0.0,0.0,,4189.95,
2024-07-16,3483.2,3498.59,3346.55,3444.13,376128.79,-1.13,3249.27,3262.72,3285.42,False,32.19,23.65,22.04,,,,,,,,,BIG LH confirmed @ 3977.00,,,,,,1616.0,0.0,0.0,0.0,0.0,,1616.0,,,,,,,4189.95,0.0,0.0,0.0,0.0,,4189.95,
2024-07-17,3444.14,3517.0,3376.0,3387.05,297812.52,-1.66,3270.47,3274.56,3292.95,False,30.28,22.93,20.54,,,,,,,,,,,,,,,1616.0,0.0,0.0,0.0,0.0,,1616.0,,,,,,,4189.95,0.0,0.0,0.0,0.0,,4189.95,
2024-07-18,3387.05,3489.98,3367.2,3426.5,241950.35,1.16,3294.48,3289.03,3302.84,False,28.43,21.55,19.74,,,,,,,,,,,,,,,1616.0,0.0,0.0,0.0,0.0,,1616.0,,,,,,,4189.95,0.0,0.0,0.0,0.0,,4189.95,
2024-07-19,3426.49,3540.27,3377.0,3503.53,299511.64,2.25,3326.64,3309.46,3317.71,True,27.13,22.29,18.17,,,,,,,,,,,,,,,1616.0,0.0,0.0,0.0,0.0,,1616.0,,,,,,,4189.95,0.0,0.0,0.0,0.0,,4189.95,
2024-07-20,3503.53,3539.65,3480.0,3517.5,147510.82,0.4,3356.0,3329.27,3332.51,True,25.92,21.61,17.62,,,,,,,,,,,,,,,1616.0,0.0,0.0,0.0,0.0,,1616.0,,,,,,,4189.95,0.0,0.0,0.0,0.0,,4189.95,
2024-07-21,3517.5,3547.0,3411.4,3535.92,218890.97,0.52,3383.68,3348.95,3347.58,True,24.1,20.12,19.9,,,,,,,,BULL_CHOCH,SMALL BULL CHOCH @ 3535.92 (level 3524.94),2828.74,-20.0,2.5,1.142563,4040.01,1616.0,0.0,0.0,808.0,808.0,0.0,808.0,"ENTRY @ 3535.92 (small green CHoCH, margin $808.00 [50% of bank] @ 5x [ADX 24.1, zone green], 1.142563 units)",2828.74,-20.0,2.5,2.962421,10474.88,4189.95,0.0,0.0,2094.98,2094.98,0.0,2094.98,"ENTRY @ 3535.92 (small green CHoCH, margin $2094.98 [50% of bank] @ 5x [ADX 24.1, zone green], 2.962421 units)"
2024-07-22,3535.93,3562.82,3422.34,3439.6,207859.5,-2.72,3392.28,3357.59,3354.39,True,22.57,19.49,18.48,,,,,3562.82,,HH,,,2828.74,-17.76,2.61,1.142563,3929.96,1505.95,-110.05,-6.81,697.95,785.99,-88.04,808.0,,2828.74,-17.76,2.61,2.962421,10189.54,3904.61,-285.34,-6.81,1809.64,2037.91,-228.27,2094.98,
2024-07-23,3439.61,3541.0,3389.0,3482.51,500568.78,1.25,3406.16,3369.48,3363.88,True,21.11,18.0,18.74,,,,,,,,,,2828.74,-18.77,2.56,1.142563,3978.99,1554.98,49.03,3.26,746.98,795.8,-48.82,808.0,,2828.74,-18.77,2.56,2.962421,10316.66,4031.73,127.12,3.26,1936.75,2063.33,-126.58,2094.98,
2024-07-24,3482.51,3487.82,3300.0,3335.81,275479.05,-4.21,3395.34,3366.28,3361.8,True,20.56,16.33,21.4,,,,,,,,,,2828.74,-15.2,2.75,1.142563,3811.37,1387.37,-167.61,-10.78,579.36,762.27,-182.91,808.0,,2828.74,-15.2,2.75,2.962421,9882.07,3597.14,-434.59,-10.78,1502.17,1976.41,-474.25,2094.98,
2024-07-25,3335.82,3342.5,3087.53,3175.48,494282.64,-4.81,3361.52,3348.11,3348.0,True,21.48,14.38,28.79,,,,,,3087.53,HL,,,2828.74,-10.92,3.01,1.142563,3628.19,1204.18,-183.19,-13.2,396.18,725.64,-329.46,808.0,,2828.74,-10.92,3.01,2.962421,9407.11,3122.18,-474.96,-13.2,1027.2,1881.42,-854.22,2094.98,
2024-07-26,3175.47,3286.36,3171.0,3274.61,260237.46,3.12,3348.15,3341.11,3342.56,True,22.33,13.59,27.21,,,,,,,,,,2828.74,-13.62,2.84,1.142563,3741.45,1317.44,113.26,9.41,509.44,748.29,-238.85,808.0,,2828.74,-13.62,2.84,2.962421,9700.77,3415.84,293.66,9.41,1320.87,1940.15,-619.29,2094.98,
2024-07-27,3274.6,3327.59,3191.01,3249.01,231991.9,-0.78,3332.89,3332.34,3335.63,False,22.65,14.67,25.43,,,,,,,,,SMALL HH confirmed @ 3562.82,2828.74,-12.94,2.88,1.142563,3712.2,1288.19,-29.25,-2.22,480.19,742.44,-262.25,808.0,,2828.74,-12.94,2.88,2.962421,9624.93,3340.0,-75.84,-2.22,1245.03,1924.99,-679.96,2094.98,
2024-07-28,3249.0,3284.3,3198.11,3270.16,103529.83,0.65,3323.24,3326.41,3330.78,False,22.94,14.05,24.34,,,,,,,,,,2828.74,-13.5,2.85,1.142563,3736.36,1312.36,24.17,1.88,504.35,747.27,-242.92,808.0,,2828.74,-13.5,2.85,2.962421,9687.59,3402.66,62.66,1.88,1307.68,1937.52,-629.83,2094.98,
2024-07-29,3270.16,3396.77,3258.0,3317.66,318471.51,1.45,3322.38,3325.58,3329.81,False,22.0,18.66,22.67,,,,,3396.77,,LH,,,2828.74,-14.74,2.77,1.142563,3790.64,1366.63,54.27,4.14,558.63,758.13,-199.5,808.0,,2828.74,-14.74,2.77,2.962421,9828.3,3543.37,140.71,4.14,1448.4,1965.66,-517.26,2094.98,
2024-07-30,3317.66,3366.4,3233.18,3279.21,197277.16,-1.16,3315.74,3321.16,3326.06,False,21.32,17.42,22.4,,,,,,,,,SMALL HL confirmed @ 3087.53,2828.74,-13.74,2.83,1.142563,3746.7,1322.7,-43.93,-3.21,514.69,749.34,-234.65,808.0,,2828.74,-13.74,2.83,2.962421,9714.4,3429.47,-113.91,-3.21,1334.49,1942.88,-608.39,2094.98,
2024-07-31,3279.2,3350.0,3213.75,3232.74,233711.34,-1.42,3302.97,3312.74,3319.15,False,20.85,16.23,21.84,,,,,,,,,,2828.74,-12.5,2.91,1.142563,3693.61,1269.6,-53.09,-4.01,461.6,738.72,-277.12,808.0,,2828.74,-12.5,2.91,2.962421,9576.74,3291.81,-137.66,-4.01,1196.83,1915.35,-718.52,2094.98,
2024-08-01,3232.74,3242.57,3080.02,3203.4,323285.61,-0.91,3287.65,3302.33,3310.58,False,21.38,14.93,26.71,,,,,,,,,,2828.74,-11.7,2.96,1.142563,3660.09,1236.08,-33.52,-2.64,428.08,732.02,-303.94,808.0,,2828.74,-11.7,2.96,2.962421,9489.82,3204.89,-86.92,-2.64,1109.91,1897.96,-788.05,2094.98,
2024-08-02,3203.4,3218.6,2967.0,2989.61,385704.04,-6.67,3241.8,3272.55,3286.8,False,22.52,13.16,28.86,,,,,,,,BEAR_CHOCH,SMALL BEAR CHOCH @ 2989.61 (level 3087.53),,,,,,991.81,-244.27,-19.76,0.0,0.0,,991.81,"EXIT @ 2989.61 (small red CHoCH, realized -624.19)",,,,,,2571.55,-633.34,-19.76,0.0,0.0,,2571.55,"EXIT @ 2989.61 (small red CHoCH, realized -1618.40)"
2024-08-03,2989.61,3018.02,2859.0,2903.64,344595.32,-2.88,3189.78,3237.41,3258.42,False,24.1,12.18,31.78,,,,,,,,,SMALL LH confirmed @ 3396.77,,,,,,991.81,0.0,0.0,0.0,0.0,,991.81,,,,,,,2571.55,0.0,0.0,0.0,0.0,,2571.55,
2024-08-04,2903.65,2935.46,2630.0,2688.92,512064.26,-7.39,3112.72,3185.17,3216.23,False,26.39,10.55,37.55,,,,BEAR_CHOCH,,,,,BIG BEAR CHOCH @ 2688.92 (level 2817.00),,,,,,991.81,0.0,0.0,0.0,0.0,,991.81,,,,,,,2571.55,0.0,0.0,0.0,0.0,,2571.55,
